ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
9.96706, -0.04070, -0.19154, 0.00679, 0.01292, 0.01532, 32.72612
9.96467, -0.01915, -0.21069, 0.00480, 0.00426, 0.01479, 32.53443
9.93833, 0.00000, -0.18914, 0.00253, 0.04157, 0.01639, 32.72612
9.99579, -0.04549, -0.17957, 0.00200, 0.02425, 0.01186, 32.39066
9.99340, -0.02155, -0.14605, 0.00453, 0.02132, 0.01279, 32.72612
10.00776, -0.01437, -0.20111, 0.00067, 0.06781, 0.01785, 32.72612
9.96706, 0.00000, -0.07901, 0.00266, 0.03517, 0.01346, 32.58235
9.96706, -0.02155, -0.13647, -0.00147, 0.05489, 0.01092, 32.58235
9.96467, -0.03352, -0.15802, 0.00506, 0.02731, 0.01146, 32.72612
9.95749, -0.00958, -0.12929, 0.00320, 0.01665, 0.01079, 32.53443
9.94791, -0.02394, -0.15083, 0.00173, 0.04290, 0.01572, 32.63028
9.99340, -0.01437, -0.16759, 0.00346, 0.02638, 0.01492, 32.63028
9.98382, 0.00239, -0.17957, -0.00133, 0.05289, 0.01759, 32.58235
9.98382, -0.01437, -0.10534, 0.00266, 0.03238, 0.01705, 32.43858
9.97424, -0.03352, -0.08380, 0.00147, 0.04956, 0.01399, 32.82197
9.98861, -0.03831, -0.16759, -0.00120, 0.02252, 0.02078, 32.82197
9.95988, -0.06704, -0.00239, -0.00160, 0.02345, 0.01785, 32.63028
9.99579, -0.05267, -0.07901, -0.00320, 0.00506, 0.01359, 32.63028
10.01973, -0.00239, -0.16999, -0.00893, 0.04756, 0.00959, 32.77404
9.98382, -0.03352, -0.09816, -0.00093, 0.02491, 0.01839, 32.53443
9.95270, -0.04549, -0.10534, 0.00160, 0.02665, 0.01719, 32.53443
10.00537, 0.00239, -0.11492, 0.00160, 0.03691, 0.01612, 32.43858
9.99819, -0.02394, -0.11732, 0.00413, 0.00226, 0.01692, 32.72612
10.00058, -0.03352, -0.04788, 0.00666, 0.01679, 0.01332, 32.63028
9.98382, 0.00718, -0.12689, -0.00466, 0.04863, 0.01719, 32.63028
9.97185, -0.03831, -0.15083, 0.00799, 0.02771, 0.01412, 32.63028
9.98622, -0.04549, -0.17238, 0.00546, 0.02158, 0.01572, 32.63028
9.93833, 0.00718, -0.08859, 0.00560, 0.02678, 0.01692, 32.72612
9.99100, -0.00479, -0.10534, 0.00306, 0.03917, 0.01732, 32.72612
10.01016, -0.02873, -0.15083, 0.00506, 0.01092, 0.01679, 32.58235
10.01973, -0.03831, -0.13886, 0.00480, 0.02292, 0.01692, 32.58235
10.01255, -0.01915, -0.10774, 0.00160, 0.01839, 0.01599, 32.72612
10.01255, -0.00718, -0.13647, 0.00440, 0.03264, 0.01492, 32.72612
10.01973, -0.04070, -0.11971, 0.00360, 0.04903, 0.01346, 32.43858
9.97185, 0.00718, -0.16041, 0.00280, 0.02691, 0.01506, 32.58235
9.98143, -0.03831, -0.11013, 0.00120, 0.02292, 0.01665, 32.63028
9.99579, -0.03831, -0.18435, 0.00786, 0.05649, 0.01026, 32.58235
9.99819, -0.04549, -0.15562, 0.00293, 0.00719, 0.01252, 32.58235
9.95749, 0.00958, -0.14126, 0.00466, -0.01053, 0.01639, 32.72612
10.01255, -0.02634, -0.16041, 0.00093, 0.00879, 0.01732, 32.72612
9.97424, -0.05267, -0.21548, -0.01146, 0.03557, 0.02172, 32.39066
9.96946, -0.05267, -0.18914, -0.00240, 0.04010, 0.01466, 32.58235
9.95030, -0.03112, -0.14605, 0.00360, 0.03198, 0.01039, 32.39066
9.97424, 0.04310, -0.15802, -0.00386, 0.03051, 0.01705, 32.72612
9.97424, -0.02873, -0.18914, 0.00080, 0.02491, 0.01466, 32.72612
9.98382, -0.01197, -0.13408, 0.00360, 0.02278, 0.01332, 32.43858
10.00776, -0.03591, -0.14844, 0.00253, 0.03451, 0.01386, 32.72612
9.97664, -0.02634, -0.15323, 0.00493, 0.01772, 0.01879, 32.39066
9.95270, 0.02634, -0.13647, 0.00000, 0.04183, 0.01879, 32.58235
10.01495, 0.02873, -0.13408, 0.00719, 0.02825, 0.01292, 32.43858
9.97903, -0.04070, -0.15562, 0.00626, 0.02571, 0.01252, 32.58235
9.99340, -0.02394, -0.14605, 0.00799, 0.03837, 0.01852, 32.43858
10.01495, 0.01437, -0.08380, 0.00626, 0.03824, 0.01386, 32.72612
9.99819, -0.00958, -0.08380, 0.00413, 0.03944, 0.01252, 32.58235
9.97185, -0.03112, -0.16041, 0.00093, 0.04357, 0.01452, 32.58235
