ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
0.32561, 9.81862, -0.05507, 0.05502, 0.06915, 0.01479, 32.10312
0.35434, 9.81862, -0.16041, 0.00293, 0.04676, 0.00533, 32.24690
0.32801, 9.80665, -0.09577, -0.00679, 0.03744, 0.00253, 32.10312
0.30167, 9.78031, -0.11971, 0.08380, 0.03864, 0.02731, 32.29482
0.32561, 9.83299, -0.05986, 0.01945, 0.02931, 0.01745, 32.39066
0.49799, 9.78031, -0.37828, 0.08034, 0.02598, -0.01372, 31.91143
0.29928, 9.79707, -0.14126, -0.04130, 0.02625, 0.00666, 32.39066
0.35434, 9.80426, -0.06225, 0.04943, 0.03304, 0.03251, 32.43858
0.34716, 9.81144, -0.16041, 0.01865, 0.02958, 0.02265, 32.10312
0.33758, 9.78031, -0.09577, -0.00240, 0.03557, 0.01239, 32.39066
0.33040, 9.82341, -0.18196, 0.00520, 0.03677, 0.01759, 32.10312
0.32322, 9.81623, -0.11253, 0.02891, 0.04996, 0.02465, 32.19897
0.31125, 9.84735, -0.14844, -0.00533, 0.02971, 0.00986, 32.24690
0.34237, 9.83778, -0.12210, 0.01479, 0.03051, 0.02265, 32.24690
0.28970, 9.79229, -0.01197, 0.05036, 0.04636, 0.03384, 32.24690
0.32322, 9.83778, -0.15083, -0.03597, 0.02864, 0.01479, 32.29482
0.28012, 9.81144, -0.03591, 0.00586, 0.02198, 0.02984, 32.19897
0.32322, 9.82580, -0.08140, 0.02358, 0.02638, 0.02225, 32.10312
0.32561, 9.83059, -0.11492, 0.05409, 0.02811, 0.03531, 32.24690
0.28012, 9.87369, -0.04310, -0.00666, 0.02811, 0.01945, 32.39066
0.34477, 9.81144, -0.15083, 0.00813, 0.02292, 0.01452, 32.19897
0.30885, 9.83778, -0.12689, 0.02545, 0.02705, 0.02505, 32.29482
0.26097, 9.77553, -0.12210, -0.03064, 0.01905, 0.00853, 32.29482
0.33279, 9.82820, -0.11732, 0.01785, 0.02518, 0.02918, 32.24690
0.28970, 9.80186, -0.14605, -0.01106, 0.02372, 0.01759, 31.91143
0.33519, 9.81862, -0.09816, -0.04024, 0.01466, 0.00187, 32.05520
0.33519, 9.83299, -0.08619, -0.00373, 0.03091, 0.01679, 32.29482
0.29449, 9.79707, -0.10295, -0.00466, 0.02891, 0.01945, 32.24690
0.28970, 9.80186, -0.04788, 0.02691, 0.02571, 0.01998, 32.24690
0.33519, 9.79468, -0.00479, 0.02545, 0.03277, 0.01812, 32.05520
0.30406, 9.79947, -0.01437, 0.01053, 0.02811, 0.01412, 32.24690
0.33279, 9.81383, -0.09098, -0.00400, 0.02878, 0.01785, 32.29482
