ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
0.13168, 0.26336, 10.35013, 0.01119, 0.03251, 0.01252, 31.04882
0.13886, 0.23463, 10.23761, 0.00333, 0.02585, 0.01079, 31.14467
0.12929, 0.25857, 10.30943, 0.00413, 0.04903, 0.00933, 31.24051
0.16520, 0.26815, 10.32859, 0.00426, 0.01945, 0.01452, 31.14467
0.16041, 0.24421, 10.28310, 0.00480, 0.01772, 0.01665, 31.04882
0.09337, 0.27054, 10.27352, 0.00440, 0.01972, 0.01159, 31.19259
0.18196, 0.27773, 10.29267, 0.00626, 0.02358, 0.01426, 30.95298
0.11253, 0.27533, 10.33338, 0.00506, 0.01905, 0.01426, 31.14467
0.12929, 0.28252, 10.29267, 0.00120, 0.00506, 0.01639, 30.85713
0.15802, 0.28012, 10.34535, 0.00386, 0.04876, 0.01399, 31.24051
0.13408, 0.29688, 10.33338, 0.00027, 0.02265, 0.01039, 31.14467
0.12210, 0.21787, 10.31901, 0.00386, 0.02358, 0.01799, 31.24051
0.13886, 0.24660, 10.31422, -0.00027, 0.04223, 0.00839, 31.19259
0.12689, 0.28970, 10.29267, 0.00440, 0.03264, 0.00973, 31.14467
0.15083, 0.23942, 10.27591, -0.00067, 0.04903, 0.01186, 31.14467
0.09098, 0.27054, 10.32140, 0.00320, 0.02385, 0.01399, 31.00090
0.12689, 0.23703, 10.29028, 0.00266, 0.04490, 0.01226, 30.95298
0.15083, 0.29688, 10.34295, 0.00919, 0.02665, 0.01412, 31.19259
0.09816, 0.24900, 10.30464, 0.00386, 0.02771, 0.01386, 31.14467
0.13647, 0.23224, 10.36689, 0.00546, 0.01399, 0.01199, 31.14467
0.10295, 0.23703, 10.30704, 0.00173, 0.03331, 0.01452, 31.04882
0.13168, 0.29688, 10.32140, 0.00666, 0.00879, 0.01172, 31.19259
0.07901, 0.23463, 10.31901, 0.00626, 0.03837, 0.01172, 31.33636
0.14365, 0.24181, 10.27352, 0.01132, 0.00200, 0.01759, 31.04882
0.16759, 0.24660, 10.27591, 0.00147, 0.03917, 0.01239, 31.14467
0.08859, 0.23942, 10.21845, -0.00013, -0.00346, 0.01639, 31.33636
0.13168, 0.26097, 10.24718, 0.00839, 0.03597, 0.01106, 31.14467
0.11492, 0.27054, 10.26394, 0.00493, 0.02465, 0.01346, 31.04882
0.10295, 0.28491, 10.28310, 0.00573, 0.04117, 0.01079, 30.95298
0.21308, 0.27533, 10.26155, 0.00160, 0.01785, 0.01506, 31.14467
0.13647, 0.25857, 10.25437, 0.00413, 0.03757, 0.01692, 31.14467
0.17957, 0.25379, 10.30225, 0.00253, 0.00213, 0.01119, 31.19259
0.16999, 0.31364, 10.24958, 0.00160, -0.00373, 0.01026, 31.00090
0.16999, 0.27294, 10.28310, 0.00133, 0.06688, 0.01199, 31.14467
0.14844, 0.28730, 10.27112, -0.00160, 0.04583, 0.01026, 31.14467
0.11253, 0.31125, 10.33577, 0.00640, 0.03371, 0.01212, 31.00090
0.11732, 0.25618, 10.30704, 0.00306, 0.03637, 0.01426, 31.14467
0.07661, 0.25379, 10.29986, -0.00013, 0.03331, 0.01479, 31.24051
0.10056, 0.21308, 10.31901, -0.00053, 0.03038, 0.01226, 31.19259
0.05507, 0.29449, 10.26155, 0.00293, 0.02638, 0.01292, 31.14467
0.10534, 0.26815, 10.32859, 0.00679, 0.01319, 0.01372, 31.14467
0.10056, 0.25618, 10.21366, 0.00386, 0.00120, 0.01599, 31.14467
0.13168, 0.25379, 10.29507, 0.00053, 0.03371, 0.01239, 31.04882
0.11971, 0.25857, 10.30704, 0.00506, 0.00693, 0.01146, 31.33636
0.11492, 0.26815, 10.23761, 0.00226, 0.01892, 0.01292, 31.33636
0.13168, 0.23224, 10.31422, 0.00360, 0.04983, 0.01279, 31.14467
0.13168, 0.28491, 10.29028, -0.00320, 0.05196, 0.00879, 30.95298
0.15802, 0.25857, 10.34535, 0.00453, -0.00839, 0.01559, 30.85713
0.09337, 0.26576, 10.25676, 0.00440, -0.02438, 0.01426, 31.14467
0.07661, 0.27773, 10.28070, -0.00027, 0.01266, 0.01825, 31.14467
0.06943, 0.23224, 10.29028, 0.00853, 0.00799, 0.01372, 31.14467
0.11013, 0.24660, 10.23521, -0.00147, -0.02198, 0.01372, 31.04882
0.13168, 0.27773, 10.28310, 0.00067, 0.04370, 0.01346, 31.48013
0.10056, 0.25857, 10.33098, 0.00200, 0.03224, 0.01346, 31.04882
0.12929, 0.25139, 10.29507, -0.00013, 0.03171, 0.01212, 31.19259
0.11732, 0.25379, 10.29746, 0.00067, 0.05756, 0.01719, 31.04882
0.14605, 0.25139, 10.26634, 0.00133, 0.02278, 0.01026, 31.14467
0.19393, 0.24181, 10.34056, 0.00480, 0.00360, 0.01279, 31.04882
0.14605, 0.22266, 10.26394, 0.00466, 0.04570, 0.00679, 31.33636
0.16999, 0.24660, 10.32140, 0.00640, 0.02092, 0.01372, 31.19259
0.15802, 0.24660, 10.33816, 0.00560, 0.04090, 0.01599, 31.04882
0.15323, 0.27773, 10.32619, 0.00480, 0.04610, 0.01239, 31.04882
0.11253, 0.27773, 10.21127, 0.00640, -0.00200, 0.00946, 31.14467
0.11013, 0.29688, 10.30943, 0.01013, 0.00306, 0.01066, 31.14467
0.13647, 0.26097, 10.24239, 0.00666, 0.03531, 0.01559, 31.14467
0.12450, 0.28491, 10.32619, 0.00373, 0.02611, 0.01172, 31.14467
0.12689, 0.25139, 10.28549, 0.00413, 0.00906, 0.01226, 31.14467
0.15323, 0.22505, 10.28549, 0.00160, 0.03717, 0.01745, 31.14467
0.16281, 0.27054, 10.32140, 0.00600, 0.01772, 0.01692, 31.14467
0.14365, 0.25857, 10.36211, 0.00200, 0.07794, 0.01572, 31.19259
0.08140, 0.29209, 10.35971, 0.00013, 0.03677, 0.00586, 31.14467
0.09337, 0.25379, 10.31901, 0.00560, 0.03944, 0.01013, 31.00090
0.06464, 0.24900, 10.25437, 0.00000, -0.00733, 0.01319, 30.95298
0.08619, 0.26576, 10.33098, -0.00027, 0.00853, 0.01146, 31.14467
0.07183, 0.23703, 10.27591, 0.00240, 0.02531, 0.01679, 31.04882
0.08619, 0.27054, 10.32380, 0.00560, 0.03051, 0.00919, 31.19259
